rate,Scam Type,,
25,,39.6729090909091,mean
41,,40.925,median
25.85,,38.95,mode
51.8,,0.8,min
37.43,,73.21,max
23.17,,,
28.97,,,
38.95,,,
40.85,,,
32.42,,,
29.17,,,
38.95,,,
21.9,,,
43.09,,,
31.13,,,
38.95,,,
45.04,,,
19.6,,,
42.62,,,
55.74,,,
47.24,,,
19.59,,,
32.58,,,
39.92,,,
25.85,,,
5.51,a chat post,,
45.79,,,
42.04,,,
58.49,from a text post,,
38.95,10x your monney in a week,,
21.9,,,
36.87,216,fucked up my histogram but its a bitcoin mining scam,
35.53,,,
34.59,,,
44.27,,,
35.76,,,
39.92,,,
38.95,,,
45.04,,,
43.96,,,
40.59,desc,,
44.25,desc,,
43.45,desc,,
42.86,desc,,
42.4,desc,,
39.92,,,
6.15,,,
62.27,,,
38.95,,,
29.78,,,
36.87,,,
38.95,,,
40.11,,,
49.89,,,
45.04,,,
10.41,,,
5.96,,,
33.35,,,
38.95,,,
36.87,,,
43.45,,,
43.45,disc,,
55.11,disc,,
56.02,disc,,216
50.13,disc,,216
50.51,disc,,
43.57,disc,,
47.24,disc,,
0.8,,,
39.92,,,
63.15,,,
62.32,,,
61.23,,,
62.12,,,
73.21,,,
42.26,,,
41.57,,,
41.33,,,
40.76,,,
60.04,,,
58.75,,,
43.27,,,
44.57,,,
38.35,,,
36.72,,,
13.47,,,
14.16,,,
11.87,,,
10.98,,,
39.92,,,
47.23,,,
43.45,,,
40.3,,,
7.9,,,
47.58,,,
10.41,,,
44.27,,,
53.3,,,
40.85,216,,
60.65,216,,
59.53,100,,
59.07,,,
59.47,,,
58.07,,,
57.07,,,
50.69,,,
43.45,,,
44.88,,,
45.03,,,
29.17,,,
